Name,Supervisor Name,Title,Age,Sex,Education,WorkTitleYear,WorkTitleMonth,WorkOrgYear,WorkOrgMonth,RepSupYear,RepSupMonth,RespNumber,NumInd,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,QS1,QS2,QS3R,QS4,QS5,QS6,QS7,QS8R,QS9,QS10,QS11,QS12,QS13,QS14,QS15,QS16,QS17R,QS18R,QS19,QS20R,QS21,QS22,QS23,QS24R,QS25,QS26,QS27R,QS28,QS29,QS30,QS31R,QS32,QS33,QS34,QS35R,QS36
CIAe,ADN,Lawyer,26,1,3,1,0,3,0,3,0,63,4,6,7,5,2,1,1,6,6,7,7,5,7,5,5,1,3,2,5,5,5,4,3,1,3,3,3,2,2,2,5,7,7,5,3,5,5,6,3,3,2,5,3,4,3,4,3,4,4,4,3,4,3,5,2,6,2,5,2,2,2,2,3,3,2,3,3,3,2,2,6,6,2,3
CMC,LDA,Subsidiary manager,37,1,3,5,6,5,6,5,6,35,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,2,2,5,4,4,7,2,1,1,1,1,1,1,2,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,3,2,1,6,7,7,5,7,5,7,7,6,5,7,7,5,6,6,2,1,3,6,6
CYuV,VCI,Specialist,26,1,3,1,6,2,0,2,0,26,7,7,7,7,1,1,1,6,7,7,7,7,7,7,7,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,6,6,6,6,6,6,7,7,6,4,3,7,7,6,7,7,6,7,6,6,3,2,4,4,3,5,7,5,5,6,3,5,6,5,5,1,2,5,3,5,1,3,6,4
DDI,LDA,Department head,27,1,3,4,0,7,0,4,0,36,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,2,5,2,3,6,3,1,1,1,1,1,1,1,6,7,7,6,7,7,7,7,7,7,7,6,6,4,7,6,7,7,7,7,7,3,3,1,5,7,7,7,7,7,7,7,7,1,7,7,7,7,7,1,1,1,7,7
DDN,VEYu,Specialist,23,1,3,1,6,1,6,1,6,7,4,5,5,4,1,1,2,3,3,4,5,3,3,3,3,4,3,3,5,4,4,6,1,2,6,5,6,2,1,2,4,4,6,3,4,3,4,4,7,7,6,7,7,7,7,6,7,7,7,6,7,1,1,1,7,7,7,7,7,7,6,7,7,1,6,5,5,6,7,1,1,1,7,5
DKC,KAA,Lead specialist,43,0,3,4,0,7,0,4,0,47,5,4,5,4,3,3,3,5,5,5,3,4,4,5,5,3,5,5,3,3,4,4,3,2,6,5,3,2,2,3,2,4,5,3,3,3,4,4,4,5,1,4,5,7,6,6,6,7,6,6,5,3,1,2,4,3,3,5,3,4,3,4,6,3,6,6,3,6,6,3,5,2,7,6
DOE,KAA,Lead specialist,31,0,3,7,0,7,0,5,0,48,5,3,3,4,2,2,2,5,5,6,3,3,4,5,5,4,5,5,3,2,2,3,3,2,6,5,6,3,2,2,2,3,4,4,3,4,4,4,3,4,2,5,4,6,5,6,5,6,6,5,5,4,2,3,3,2,2,3,4,3,3,2,5,4,5,4,2,4,4,3,6,3,5,4
FEV,PNA,Lead specialist,26,1,3,1,6,2,0,1,6,13,7,5,6,7,2,3,2,5,3,3,2,3,3,5,5,4,3,3,3,5,4,7,3,3,3,3,4,2,2,2,5,7,6,5,5,5,4,5,5,5,4,6,6,6,5,6,5,5,5,5,5,1,1,1,7,7,7,2,5,5,5,7,5,1,6,5,4,4,7,1,2,1,7,5
FTM,KME,Department head,24,1,3,0,9,0,9,0,9,32,10,6,6,6,1,1,1,5,3,3,3,5,3,4,3,4,3,3,3,5,2,2,2,1,4,5,5,2,2,2,6,6,7,6,7,7,7,7,5,6,4,5,7,3,7,7,6,7,7,7,6,2,3,1,3,7,5,6,6,5,6,5,5,2,7,6,6,7,6,2,2,1,6,5
GAK,ADN,Specialist,26,1,3,1,0,1,0,1,0,55,7,7,5,2,1,1,1,7,7,7,5,5,5,4,4,3,3,3,7,7,7,5,2,2,3,5,3,3,2,2,3,6,5,2,3,3,5,5,6,6,3,3,5,6,6,5,6,6,5,6,5,3,1,2,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,6,2,3,5,5
GDD,MAN,Specialist,24,0,3,0,7,0,7,0,7,46,12,5,4,3,5,5,2,6,6,5,5,5,5,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,6,6,6,6,5,7,4,5,6,6,6,6,6,7,6,6,6,2,1,2,5,6,6,6,5,5,4,4,3,4,6,3,3,3,4,3,1,3,7,4
GEB,YuEYu,Department head,38,1,3,7,0,9,0,7,0,5,6,6,6,7,7,7,6,6,5,5,7,6,6,5,4,3,3,4,5,5,6,6,5,6,4,4,3,4,4,3,5,5,6,7,5,6,5,4,7,7,4,6,6,7,6,6,6,7,7,7,7,1,1,1,7,7,5,7,7,7,7,7,5,1,6,4,4,4,7,1,2,1,7,5
GGV,CEB,Lead specialist,51,1,3,5,0,5,0,2,1,4,7,6,6,4,2,2,2,7,7,7,6,6,6,6,6,2,2,2,2,2,2,2,2,2,4,4,4,1,1,1,5,7,7,7,6,6,6,6,3,3,1,2,5,7,5,4,6,5,6,7,7,5,2,5,1,2,6,2,7,6,4,2,3,5,2,2,4,3,3,7,6,6,4,3
GOV,MAN,Lead specialist,29,0,3,1,0,3,0,1,0,67,4,6,5,6,5,5,4,5,5,5,5,5,5,6,6,3,3,3,3,2,2,4,2,2,1,1,1,1,1,1,5,7,6,3,5,6,6,7,5,7,4,3,5,7,5,6,6,6,7,6,5,2,1,2,5,6,5,3,6,5,5,5,3,3,5,3,2,2,4,3,2,3,5,4
GYuN,VCI,Specialist,23,1,3,0,6,0,6,0,6,22,6,7,7,7,3,2,1,6,6,4,7,7,7,4,6,5,4,4,7,7,7,5,4,2,1,1,1,6,6,6,3,5,5,5,3,2,3,3,4,5,3,6,5,6,5,5,6,6,5,6,5,4,2,3,3,4,6,5,2,3,1,2,4,5,4,2,1,2,3,6,4,6,4,3
HAV,KAA,Specialist,23,0,3,0,6,0,6,0,6,50,3,5,5,5,2,2,1,6,6,6,5,5,5,4,5,3,2,1,6,4,3,7,3,1,3,3,3,1,1,1,5,5,6,4,5,5,6,6,4,6,1,4,5,7,6,6,6,7,7,7,4,3,1,2,5,4,2,5,3,4,4,4,6,3,6,6,3,6,6,3,5,2,7,6
HRI,TAA,Lead specialist,25,1,3,1,6,1,6,1,6,27,7,6,6,6,3,3,3,5,3,3,5,5,5,4,4,3,2,2,3,5,3,4,2,1,4,4,4,2,2,2,6,7,7,6,6,6,6,6,7,6,7,7,7,7,7,6,7,7,7,7,6,1,1,2,6,5,6,6,2,6,7,6,5,2,6,7,6,6,5,1,2,3,6,5
KAA,ADN,Lawyer,24,1,3,2,0,2,0,2,0,57,4,5,6,6,3,2,3,5,3,4,5,3,3,3,5,3,2,2,7,5,6,5,3,1,1,2,1,1,2,1,5,7,5,5,6,7,6,6,3,3,2,5,3,4,3,4,3,4,4,4,3,4,3,5,2,6,2,5,2,2,2,2,3,3,2,3,3,3,2,2,6,6,2,3
KEC,KME,Department head,31,1,3,0,8,0,8,0,8,29,4,7,6,3,7,7,3,5,4,5,3,5,6,3,5,3,5,2,6,4,5,5,1,1,1,1,1,6,2,2,7,7,7,7,3,6,6,6,5,6,4,5,7,3,7,7,6,7,7,7,6,2,3,1,3,7,5,6,6,5,6,5,5,2,7,6,6,7,6,2,2,1,7,7
KIM,TAA,Lead specialist,28,1,3,6,0,6,0,4,0,24,7,7,7,7,7,7,7,6,6,6,5,5,5,4,4,5,5,5,6,6,6,2,2,2,5,5,5,5,5,5,3,3,3,3,5,5,4,4,7,7,6,6,7,7,6,6,7,7,7,7,6,4,1,1,6,5,6,6,1,6,6,6,5,2,6,6,6,6,5,2,1,3,6,6
KIV,TIG,Lead specialist,26,1,3,3,0,5,0,1,0,17,7,6,6,6,5,5,5,6,6,6,6,6,6,5,5,3,3,3,3,3,3,5,5,5,2,5,3,3,3,3,6,6,6,6,6,6,6,6,5,5,4,7,5,6,6,6,6,5,4,5,5,5,2,1,2,2,1,2,3,3,3,7,5,3,6,3,4,5,6,1,2,3,6,3
KMV,LDA,Subsidiary manager,35,0,3,6,0,6,0,6,0,34,6,6,6,6,2,2,2,6,5,5,6,6,6,5,6,3,3,3,5,4,4,6,3,1,2,2,2,1,1,2,5,6,6,6,5,5,5,5,7,7,6,7,7,7,7,6,7,7,7,7,6,1,1,3,2,7,7,4,4,6,5,3,4,5,4,3,1,5,4,4,2,5,4,4
KNA,VCI,Specialist,24,1,3,1,0,1,0,1,0,23,6,7,7,7,3,3,3,6,6,6,7,7,7,4,6,5,5,5,6,6,6,2,2,1,2,6,2,6,6,6,6,6,6,6,5,5,5,5,5,4,4,5,6,6,5,5,6,6,5,7,4,3,3,5,5,4,4,4,3,3,2,3,4,4,2,3,1,1,3,5,2,5,5,2
KNN1,TIG,Lead specialist,43,1,3,6,0,9,0,6,0,18,12,7,7,7,7,7,7,5,5,5,7,7,7,4,6,5,5,5,5,5,5,7,6,5,1,1,1,1,1,1,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7,6,7,7,7,7,7,3,1,3,5,6,7,3,7,7,7,6,3,4,7,5,4,4,7,1,1,1,7,5
KNN2,ADN,Head lawyer,27,1,3,2,0,2,0,2,0,56,8,6,7,6,3,2,1,6,6,4,7,7,7,4,6,5,4,4,7,7,7,5,4,2,1,1,1,6,6,6,3,5,5,5,5,5,5,6,7,7,4,6,6,7,6,6,6,7,7,7,7,1,1,1,7,7,5,7,7,7,7,7,5,1,6,4,4,4,7,1,2,1,7,5
MAYu,DDI,Specialist,22,1,3,0,3,0,6,0,3,37,2,6,4,5,7,7,2,6,4,4,3,2,2,6,6,4,6,2,5,6,4,2,1,1,4,2,2,6,4,3,5,5,6,6,4,4,4,4,5,5,3,4,5,7,5,6,5,5,5,6,7,1,1,1,3,3,7,7,5,5,5,7,5,1,6,4,7,5,7,1,2,1,7,5
MKA,ADN,Head lawyer,28,1,3,3,0,3,0,3,0,59,9,6,7,6,1,2,1,6,6,4,7,7,7,7,6,5,4,4,7,7,7,5,4,2,2,2,2,3,2,2,7,5,5,5,5,5,5,6,6,6,3,3,5,6,6,5,6,6,5,6,5,3,1,2,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,6,2,3,5,5
MKC,VCI,Specialist,25,1,3,1,0,1,0,1,0,25,5,7,7,7,2,2,2,6,6,6,6,6,6,4,4,4,4,4,3,3,3,6,6,6,5,5,5,6,6,6,6,6,6,6,3,3,5,5,6,5,4,6,6,6,6,4,7,7,6,7,5,5,3,4,4,3,5,5,3,4,1,3,5,3,3,2,2,3,3,4,3,6,6,4
MLA,ZEV,Department head,24,1,3,1,6,1,6,1,6,40,4,4,4,5,6,6,4,7,7,7,5,2,6,7,7,4,4,6,3,2,2,1,1,1,1,1,1,1,1,2,6,6,7,6,6,6,7,7,6,6,4,7,7,7,7,7,6,7,7,7,7,1,1,1,7,7,6,7,7,7,7,6,6,1,7,7,6,7,7,1,1,1,7,6
MRC,ADN,Head lawyer,29,0,3,4,0,6,0,6,0,58,8,7,7,7,6,6,6,7,7,7,7,7,7,6,6,2,1,1,4,4,4,3,2,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,5,5,4,6,6,6,5,6,5,5,5,5,5,1,1,1,7,7,7,2,5,5,5,7,5,1,6,5,4,4,7,1,2,1,7,5
MVD,CDV,Specialist,20,1,2,0,6,0,6,0,6,65,3,4,1,1,4,6,5,6,6,6,6,7,7,4,5,4,1,1,4,3,5,4,2,1,2,2,2,1,2,1,4,7,6,5,5,5,5,5,4,5,3,7,6,2,3,2,5,7,5,5,7,1,1,1,7,3,1,4,7,7,1,1,1,3,6,1,1,2,7,3,2,1,5,3
NNA,ADN,Lawyer,26,1,3,1,0,1,0,1,0,60,6,5,6,6,3,2,3,5,3,4,5,3,3,3,5,3,4,4,3,5,6,5,3,4,6,7,7,4,2,3,5,3,5,5,5,5,6,5,3,3,1,6,3,3,4,4,4,4,3,3,2,4,3,5,3,6,2,5,2,2,2,2,2,3,2,2,2,2,3,2,6,6,3,3
PEA,TIG,Lead specialist,23,1,3,1,6,1,11,0,11,19,4,7,7,6,2,3,3,4,5,3,3,5,3,2,2,5,5,3,5,5,5,2,2,2,2,2,2,4,4,5,3,4,7,6,5,4,7,6,6,7,4,6,6,7,6,5,6,7,7,7,6,1,1,3,5,6,7,3,7,7,7,6,3,4,4,3,3,4,5,1,2,5,4,3
PIV,ADN,Assistant department head,30,0,3,5,0,7,0,7,0,61,12,7,7,7,7,7,7,7,7,7,7,7,7,6,7,2,1,1,4,4,4,7,2,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,6,7,7,7,7,7,1,1,1,7,7,7,7,7,7,7,7,7,1,6,6,5,6,7,1,1,1,7,5
PMN,KME,Department head,27,0,3,3,0,3,0,3,0,30,6,6,5,3,3,3,3,7,7,7,7,7,7,7,7,4,4,4,3,3,3,2,2,2,3,4,1,2,2,2,5,7,7,6,6,6,5,5,5,6,1,6,7,6,6,7,6,7,6,7,5,2,3,3,4,7,5,6,2,5,7,4,5,2,5,1,5,5,5,2,3,4,6,5
PNA,YuEYu,Department director,35,1,3,3,0,7,0,3,0,2,6,6,7,7,6,5,5,6,6,6,5,6,6,6,5,3,3,3,3,3,3,6,4,3,1,1,1,2,1,1,4,6,6,6,5,6,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,1,1,1,7,7,7,7,7,7,7,7,7,1,6,6,5,6,7,1,1,1,7,5
PNYu,DDI,Project manager,28,1,3,0,6,0,6,0,6,38,4,7,7,7,3,5,5,7,6,7,6,6,6,7,7,3,3,2,5,3,3,3,2,1,1,1,1,2,2,2,6,7,7,6,6,6,7,7,7,7,3,7,7,7,5,6,5,5,5,5,7,1,1,1,7,5,4,7,5,5,5,7,5,1,6,4,4,4,7,1,2,1,7,3
RPM,ADN,Lawyer,25,0,3,3,0,3,0,3,0,62,5,7,7,7,1,1,1,6,6,7,7,5,7,7,7,1,3,2,4,7,5,3,3,1,3,3,3,2,2,2,6,7,7,6,5,7,7,6,3,3,1,6,3,3,4,4,4,4,3,3,2,4,3,5,3,6,2,5,2,2,2,2,2,3,2,2,2,2,3,2,6,6,3,3
RTA,ANN,Lead specialist,35,1,3,4,0,5,0,4,0,12,8,7,6,5,5,5,3,3,3,3,5,5,5,3,2,3,3,3,5,5,5,5,4,3,2,5,3,1,1,2,5,5,7,6,5,5,5,4,7,7,4,6,6,7,6,6,6,7,7,7,7,1,1,1,7,7,5,7,7,7,7,7,5,1,6,4,4,4,7,1,2,1,7,5
RTV,ANN,Lead specialist,36,1,3,6,0,6,0,6,0,11,8,6,6,6,3,3,3,5,5,5,5,5,5,3,3,2,2,2,5,5,5,5,5,5,5,5,5,2,2,2,5,5,5,5,3,3,4,4,7,7,3,7,7,7,5,6,5,5,5,5,7,1,1,1,7,5,7,7,5,5,5,7,5,1,6,4,4,4,7,1,2,1,7,5
SchMI,YuEYu,Lead specialist,42,0,3,5,0,8,0,5,0,14,12,5,6,6,2,2,2,3,3,3,3,6,5,3,3,4,4,4,3,5,4,6,5,4,3,3,3,2,2,2,4,5,5,5,4,3,3,3,5,5,4,3,4,6,5,6,6,5,4,5,5,5,1,1,2,2,1,2,3,3,3,7,5,1,6,5,4,5,7,1,2,1,7,5
ShAC,ADN,Head lawyer,31,0,3,3,0,3,0,3,0,68,4,6,6,6,6,6,5,7,7,7,6,6,7,7,7,4,3,4,6,5,6,3,3,2,1,2,1,2,2,2,6,7,7,7,7,6,7,7,6,6,5,3,6,7,7,7,7,7,6,7,7,2,1,2,6,1,7,4,6,6,5,6,6,5,6,6,6,6,6,6,3,2,6,6
ShEA,ZEV,Specialist,21,1,3,1,0,1,0,1,0,42,4,3,3,3,1,1,1,3,5,3,2,3,3,1,1,1,2,1,7,7,7,6,3,2,2,6,5,1,1,2,2,6,6,3,5,3,3,3,5,6,4,7,5,6,6,7,6,7,7,6,7,1,1,2,7,4,4,7,5,6,5,6,5,2,4,5,4,5,6,1,1,2,6,4
ShOV,TIG,Lead specialist,27,1,3,2,0,4,0,4,0,66,7,7,7,7,5,5,6,6,6,6,6,7,6,6,6,3,3,3,5,5,5,4,3,1,2,2,2,2,2,1,6,7,6,6,7,7,7,6,6,4,7,7,6,7,6,7,6,7,6,6,3,2,2,3,2,7,6,4,5,6,6,5,5,2,7,5,4,4,5,5,2,3,7,6
TCA,KAA,Lead specialist,27,0,3,5,0,5,0,5,0,49,2,5,5,5,2,2,1,6,6,6,5,5,5,4,5,3,2,1,6,5,6,7,4,2,5,4,4,2,2,1,5,5,6,4,5,5,6,6,5,6,3,5,4,5,4,5,5,6,5,6,4,4,2,3,3,2,2,4,5,4,3,2,4,4,5,5,2,4,4,4,6,3,5,3
VCI,TAA,Assistant department head,36,1,3,3,0,5,0,4,0,21,8,6,6,6,6,6,6,6,6,6,7,7,7,7,7,3,3,3,3,3,3,2,2,2,3,3,3,1,1,1,5,5,5,5,6,6,6,6,6,7,6,7,6,7,7,2,7,7,6,7,5,3,1,1,6,5,6,6,1,7,6,7,6,2,6,6,5,6,6,2,1,1,6,5
VEYu,YuEYu,Department head,36,1,4,3,2,3,2,3,2,9,12,7,7,7,5,5,4,6,6,7,7,6,6,5,5,1,3,4,4,4,3,2,3,3,5,4,3,5,5,4,6,6,7,7,5,5,5,5,4,5,1,6,5,6,6,6,6,7,7,6,6,2,1,1,3,7,7,5,5,6,6,7,6,1,6,5,4,4,7,1,2,1,7,5
VPV,KME,Department head,38,0,3,1,10,1,10,0,10,31,3,5,6,6,3,3,2,6,6,5,4,3,3,3,3,3,3,3,6,2,5,5,3,1,4,2,2,1,1,1,5,6,6,5,5,4,5,6,6,6,2,4,7,7,7,7,7,7,6,7,7,2,5,1,6,7,5,5,7,7,5,2,6,1,5,3,4,6,5,2,1,7,5,5
YaAA,ZEV,Specialist,21,1,3,1,0,1,0,1,0,43,6,5,3,3,1,1,1,6,5,3,6,7,3,3,3,1,2,1,5,5,5,6,3,2,1,6,3,1,1,2,6,6,6,5,5,5,5,5,5,6,5,7,6,7,6,7,7,7,7,7,7,1,1,1,7,5,4,7,6,6,5,6,6,1,7,6,5,6,7,1,1,2,6,6
YuEYu,AI,Department head,37,1,4,2,0,7,1,7,1,1,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,3,3,3,4,2,1,1,1,1,2,2,2,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
ZAR,TIG,Lead specialist,30,1,3,3,0,7,0,3,0,15,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,6,6,7,7,7,7,6,3,6,6,7,6,6,6,6,6,7,5,1,3,4,3,4,5,2,4,5,5,5,5,4,5,3,1,2,4,5,1,6,5,1
ZhAV,VEYu,Assistant department head,26,1,3,0,6,0,6,0,6,8,5,7,7,7,5,4,4,6,6,6,7,6,5,5,4,2,2,2,5,4,3,5,2,1,2,2,2,2,2,2,5,6,5,5,6,4,5,5,7,7,3,6,6,7,7,6,7,7,6,7,6,1,1,1,7,3,3,7,5,5,5,7,5,1,6,4,4,4,7,1,2,1,7,3
ZVV,KME,Department head,31,0,3,1,5,1,5,1,5,33,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,2,2,5,3,6,5,2,1,1,1,1,1,2,1,6,7,7,7,6,7,7,7,5,6,1,6,7,6,6,7,6,7,6,7,5,2,3,3,4,7,5,6,2,5,7,4,5,2,7,3,5,5,5,2,3,3,7,7
